Date,Site,MC,CYN,STX,ANT
7/29/2013,PachecoPumpingPlant,4.2,nr,nr,nr
8/5/2013,PachecoPumpingPlant,6.5,nr,nr,nr
8/19/2013,PachecoPumpingPlant,2.6,nr,nr,nr
9/3/2013,PachecoPumpingPlant,0.8,nr,nr,nr
9/16/2013,PachecoPumpingPlant,3.1,nr,nr,nr
10/1/2013,PachecoPumpingPlant,0.9,nr,nr,nr
10/14/2013,PachecoPumpingPlant,1.1,nr,nr,nr
10/28/2013,PachecoPumpingPlant,1.3,nr,nr,nr
8/4/2014,PachecoPumpingPlant,0.75,nr,nr,nr
8/18/2014,PachecoPumpingPlant,0.46,nr,nr,nr
9/8/2014,PachecoPumpingPlant,1.14,nr,nr,nr
9/15/2014,PachecoPumpingPlant,1.11,nr,nr,nr
9/29/2014,PachecoPumpingPlant,1.09,nr,nr,nr
10/13/2014,PachecoPumpingPlant,0.61,nr,nr,nr
10/28/2014,PachecoPumpingPlant,0.95,nr,nr,nr
9/28/2015,PachecoPumpingPlant,1.63,nr,nr,nr
10/14/2015,PachecoPumpingPlant,1.65,nr,nr,nr
10/26/2015,PachecoPumpingPlant,1.84,nr,nr,nr
11/9/2015,PachecoPumpingPlant,0.41,nr,nr,nr
12/7/2015,PachecoPumpingPlant,0.22,nr,nr,nr
7/25/2016,PachecoPumpingPlant,2.8,nr,nr,nr
8/8/2016,PachecoPumpingPlant,3.04,nr,nr,nr
8/8/2016,SLRBasaltBoatLaunch,3.08,nr,nr,nr
8/22/2016,SLRBasaltBoatLaunch,2.18,nr,nr,nr
8/22/2016,PachecoPumpingPlant,2.85,nr,nr,nr
9/12/2016,PachecoPumpingPlant,1.53,nr,nr,nr
9/19/2016,SLRBasaltBoatLaunch,6.83,nr,nr,nr
10/24/2016,PachecoPumpingPlant,0.54,nr,nr,nr
10/24/2016,SLRBasaltBoatLaunch,3.75,nr,nr,nr
11/7/2016,PachecoPumpingPlant,0.45,nr,nr,nr
11/7/2016,SLRBasaltBoatLaunch,3.08,nr,nr,nr
11/14/2016,PachecoPumpingPlant,0.4,nr,nr,nr
11/14/2016,SLRBasaltBoatLaunch,7.68,nr,nr,nr
11/28/2016,PachecoPumpingPlant,0.19,nr,nr,nr
11/28/2016,SLRBasaltBoatLaunch,0.38,nr,nr,nr
4/25/2017,ONeillForeBayGianelliPP,npt,npt,npt,npt
4/25/2017,ONeillForeBayOutletCk13,npt,npt,npt,npt
4/25/2017,PachecoPumpingPlant,npt,npt,npt,npt
4/25/2017,ONeillForeBayBoatLaunch,,,,
4/25/2017,SLRBasaltBoatLaunch,,,,
5/23/2017,SLRBasaltBoatLaunch,1.09,ND,ND,ND
5/23/2017,ONeillForeBayBoatLaunch,npt,npt,npt,npt
5/23/2017,ONeillForeBayGianelliPP,npt,npt,npt,npt
5/23/2017,ONeillForeBayOutletCk13,npt,npt,npt,npt
5/23/2017,PachecoPumpingPlant,npt,npt,npt,npt
5/30/2017,SLRBasaltBoatLaunch,0.46,nr,nr,nr
5/30/2017,PachecoPumpingPlant,npt,npt,npt,npt
5/30/2017,ONeillForeBayBoatLaunch,nr,nr,nr,nr
5/30/2017,ONeillForeBayGianelliPP,,,,
5/30/2017,ONeillForeBayOutletCk13,,,,
6/5/2017,SLRBasaltBoatLaunch,3.1,nr,nr,nr
6/5/2017,ONeillForeBayBoatLaunch,npt,npt,npt,npt
6/5/2017,PachecoPumpingPlant,npt,npt,npt,npt
6/5/2017,ONeillForeBayGianelliPP,,,,
6/5/2017,ONeillForeBayOutletCk13,,,,
6/12/2017,ONeillForeBayBoatLaunch,0,ND,ND,ND
6/12/2017,ONeillForeBayGianelliPP,0,ND,ND,ND
6/12/2017,SLRBasaltBoatLaunch,1.18,nr,nr,nr
6/12/2017,ONeillForeBayOutletCk13,npt,npt,npt,npt
6/12/2017,PachecoPumpingPlant,nr,nr,nr,nr
6/19/2017,SLRBasaltBoatLaunch,8.13,nr,nr,nr
6/19/2017,ONeillForeBayBoatLaunch,npt,npt,npt,npt
6/19/2017,PachecoPumpingPlant,npt,npt,npt,npt
6/19/2017,ONeillForeBayGianelliPP,,,,
6/19/2017,ONeillForeBayOutletCk13,,,,
6/26/2017,ONeillForeBayOutletCk13,0,ND,ND,ND
6/26/2017,SLRBasaltBoatLaunch,25.8,nr,nr,nr
6/26/2017,ONeillForeBayBoatLaunch,npt,npt,npt,npt
6/26/2017,ONeillForeBayGianelliPP,nr,nr,nr,nr
6/26/2017,PachecoPumpingPlant,nr,nr,nr,nr
7/5/2017,ONeillForeBayBoatLaunch,0,npt,npt,npt
7/5/2017,SLRBasaltBoatLaunch,30.5,nr,nr,nr
7/5/2017,PachecoPumpingPlant,npt,npt,npt,npt
7/5/2017,ONeillForeBayGianelliPP,,,,
7/5/2017,ONeillForeBayOutletCk13,,,,
7/10/2017,ONeillForeBayBoatLaunch,0,ND,ND,ND
7/10/2017,ONeillForeBayGianelliPP,0,ND,ND,ND
7/10/2017,ONeillForeBayOutletCk13,0,ND,ND,ND
7/10/2017,SLRBasaltBoatLaunch,32.4,ND,ND,ND
7/10/2017,PachecoPumpingPlant,,,,
7/17/2017,SLRBasaltBoatLaunch,47.2,nr,nr,nr
7/17/2017,PachecoPumpingPlant,npt,npt,npt,npt
7/17/2017,ONeillForeBayBoatLaunch,nr,nr,nr,nr
7/17/2017,ONeillForeBayGianelliPP,,,,
7/17/2017,ONeillForeBayOutletCk13,,,,
7/24/2017,ONeillForeBayBoatLaunch,0,ND,ND,ND
7/24/2017,SLRBasaltBoatLaunch,32,ND,ND,ND
7/24/2017,ONeillForeBayGianelliPP,npt,npt,npt,npt
7/24/2017,PachecoPumpingPlant,npt,npt,npt,npt
7/24/2017,ONeillForeBayOutletCk13,nr,nr,nr,nr
7/31/2017,SLRBasaltBoatLaunch,57.3,nr,nr,nr
7/31/2017,ONeillForeBayBoatLaunch,ND*,npt,npt,npt
7/31/2017,PachecoPumpingPlant,npt,npt,npt,npt
7/31/2017,ONeillForeBayGianelliPP,,,,
7/31/2017,ONeillForeBayOutletCk13,,,,
8/7/2017,ONeillForeBayBoatLaunch,0,nr,nr,nr
8/7/2017,ONeillForeBayOutletCk13,0,npt,npt,npt
8/7/2017,SLRBasaltBoatLaunch,25.9,nr,nr,nr
8/7/2017,ONeillForeBayGianelliPP,npt,npt,npt,npt
8/7/2017,PachecoPumpingPlant,,,,
8/14/2017,ONeillForeBayBoatLaunch,0,npt,npt,npt
8/14/2017,SLRBasaltBoatLaunch,28.1,nr,nr,nr
8/14/2017,PachecoPumpingPlant,npt,npt,npt,npt
8/14/2017,ONeillForeBayGianelliPP,,,,
8/14/2017,ONeillForeBayOutletCk13,,,,
8/22/2017,ONeillForeBayBoatLaunch,0,npt,npt,npt
8/22/2017,ONeillForeBayGianelliPP,0,ND,ND,ND
8/22/2017,SLRBasaltBoatLaunch,14.4,npt,npt,npt
8/22/2017,ONeillForeBayOutletCk13,npt,npt,npt,npt
8/22/2017,PachecoPumpingPlant,npt,npt,npt,npt
8/28/2017,ONeillForeBayBoatLaunch,0,npt,npt,npt
8/28/2017,SLRBasaltBoatLaunch,48,nr,nr,nr
8/28/2017,PachecoPumpingPlant,npt,npt,npt,npt
8/28/2017,ONeillForeBayGianelliPP,,,,
8/28/2017,ONeillForeBayOutletCk13,,,,
9/5/2017,SLRBasaltBoatLaunch,8.49,npt,npt,npt
9/5/2017,PachecoPumpingPlant,npt,npt,npt,npt
9/5/2017,ONeillForeBayBoatLaunch,,,,
9/5/2017,ONeillForeBayGianelliPP,,,,
9/5/2017,ONeillForeBayOutletCk13,,,,
9/12/2017,SLRBasaltBoatLaunch,11.1,npt,npt,npt
9/12/2017,ONeillForeBayGianelliPP,npt,npt,npt,npt
9/12/2017,ONeillForeBayOutletCk13,npt,npt,npt,npt
9/12/2017,PachecoPumpingPlant,npt,npt,npt,npt
9/12/2017,ONeillForeBayBoatLaunch,,,,
9/18/2017,SLRBasaltBoatLaunch,5.61,nr,nr,nr
9/18/2017,PachecoPumpingPlant,npt,npt,npt,npt
9/18/2017,ONeillForeBayBoatLaunch,,,,
9/18/2017,ONeillForeBayGianelliPP,,,,
9/18/2017,ONeillForeBayOutletCk13,,,,
9/25/2017,SLRBasaltBoatLaunch,18.1,nr,nr,nr
9/25/2017,ONeillForeBayGianelliPP,npt,nr,nr,nr
9/25/2017,ONeillForeBayOutletCk13,npt,npt,npt,npt
9/25/2017,PachecoPumpingPlant,npt,npt,npt,npt
9/25/2017,ONeillForeBayBoatLaunch,,,,
10/2/2017,PachecoPumpingPlant,0.31,npt,npt,npt
10/2/2017,SLRBasaltBoatLaunch,9.53,nr,nr,nr
10/2/2017,ONeillForeBayGianelliPP,npt,nr,nr,nr
10/2/2017,ONeillForeBayOutletCk13,npt,nr,nr,nr
10/2/2017,ONeillForeBayBoatLaunch,,,,
10/9/2017,SLRBasaltBoatLaunch,3.65,nr,nr,ND
10/9/2017,ONeillForeBayGianelliPP,npt,npt,npt,npt
10/9/2017,ONeillForeBayOutletCk13,npt,npt,npt,npt
10/9/2017,ONeillForeBayBoatLaunch,,,,
10/9/2017,PachecoPumpingPlant,,,,
10/16/2017,SLRBasaltBoatLaunch,12.5,nr,nr,nr
10/16/2017,ONeillForeBayBoatLaunch,,,,
10/16/2017,ONeillForeBayGianelliPP,,,,
10/16/2017,ONeillForeBayOutletCk13,,,,
10/16/2017,PachecoPumpingPlant,,,,
10/23/2017,SLRBasaltBoatLaunch,2.24,nr,nr,nr
10/23/2017,ONeillForeBayGianelliPP,npt,npt,npt,npt
10/23/2017,ONeillForeBayOutletCk13,npt,npt,npt,npt
10/23/2017,ONeillForeBayBoatLaunch,,,,
10/23/2017,PachecoPumpingPlant,,,,
10/30/2017,SLRBasaltBoatLaunch,1.23,npt,npt,npt
10/30/2017,ONeillForeBayBoatLaunch,,,,
10/30/2017,ONeillForeBayGianelliPP,,,,
10/30/2017,ONeillForeBayOutletCk13,,,,
10/30/2017,PachecoPumpingPlant,,,,
11/6/2017,SLRBasaltBoatLaunch,0.28,npt,npt,npt
11/6/2017,ONeillForeBayBoatLaunch,,,,
11/6/2017,ONeillForeBayGianelliPP,,,,
11/6/2017,ONeillForeBayOutletCk13,,,,
11/6/2017,PachecoPumpingPlant,,,,
11/13/2017,SLRBasaltBoatLaunch,0.22,npt,npt,npt
11/13/2017,ONeillForeBayBoatLaunch,,,,
11/13/2017,ONeillForeBayGianelliPP,,,,
11/13/2017,ONeillForeBayOutletCk13,,,,
11/13/2017,PachecoPumpingPlant,,,,
11/20/2017,SLRBasaltBoatLaunch,0.3,npt,npt,npt
11/20/2017,ONeillForeBayBoatLaunch,,,,
11/20/2017,ONeillForeBayGianelliPP,,,,
