Sample_Date,UNQ_ID,DWR_Micro_(ug/L)_Basalt,CI_Value,CI_Cyano,Chla_ug/L,Mishra,Gons,Gons_740,Moses,Moses_740,Mishra_Buff,Gons_Buff,Gons 740 Buff,Moses_Buff,Moses740_Buff,Pred_Ranger
5/1/2022,SLR_10,ND,0,6.31E-05,1.6,8.7,13.1,13.1,NA,NA,13.9,20.4,20.4,26.4,25.4,23.20958
5/1/2022,SLR_09,ND,0,6.31E-05,2,9.7,14.8,14.8,0.13,3.5,14.2,20.6,20.6,27.3,26.2,13.23229
5/1/2022,SLR_01,ND,0,6.31E-05,2.3,11,16.7,16.8,7.1,7.5,12.1,18.1,18.1,18.4,17.6,43.08046
5/1/2022,SLR_08,ND,0,6.31E-05,3.1,13.4,20,20,19.9,19.9,14.5,20.9,20.1,29.6,27.8,24.67898333
5/1/2022,SLR_03,ND,0,6.31E-05,3.5,20.1,27.9,27.7,50,47.5,12.4,18.2,18.2,24,24.1,12.24324
5/1/2022,SLR_02,ND,0,6.31E-05,3.9,15,22.1,21.9,28.2,27.2,10.3,15.4,15.4,14.1,13.7,14.43908
5/1/2022,SLR_07,ND,0,6.31E-05,4.3,8.8,13.3,13.5,NA,NA,19.8,26.7,26.6,49.9,48.2,37.89305333
5/1/2022,SLR_04,ND,0,6.31E-05,6.9,15.3,22.2,22.3,28.5,29,13,19.1,19,23.2,22.8,11.33254333
5/1/2022,SLR_06,ND,0,6.31E-05,10,17.9,25.4,25.5,40.5,41.8,15.7,22.1,22.1,34,32.4,14.61032
9/6/2021,SLR_08,43,91,0.00077983,10.1,14.2,21.4,21.5,24.1,24,14.8,22.4,21.5,26.5,26.3,160.2839067
8/27/2021,SLR_01,9,85,0.000660693,15.7,9.9,13.9,13.9,6.7,6.7,12.2,18,18,15.9,16.2,389.63008
9/23/2021,SLR_01,17.7,87,0.000698232,16.7,16.4,25.3,25.2,32.8,32.4,18.3,28.8,28.5,40.8,39.3,37.67292667
9/23/2021,SLR_02,17.7,77,0.000529663,17.4,21.9,35.5,34.9,55.4,52.9,19.4,31,30.6,45.3,43.7,37.48095
9/23/2021,SLR_04,17.7,80,0.00057544,17.8,23,39,38.6,64.5,62.9,19.8,32.7,32.2,49.7,47.3,32.041
9/6/2021,SLR_02,43,91,0.00077983,20.7,14.5,22,22,25,25.1,17.4,27.3,27.1,37.5,36.5,187.1472267
8/27/2021,SLR_06,9,55,0.000288403,22.5,17.5,25.6,25.7,30.7,31.5,15.7,23.2,23.2,26.8,27,61.40746
8/27/2021,SLR_04,9,126,0.002051162,23.5,25,34.9,35.2,46.5,48.1,24.7,34.6,34.6,46,45.7,128.5437167
9/23/2021,SLR_06,17.7,141,0.00310456,24,24,43,42.1,64.8,61.9,23.6,61.5,61.8,67.3,64.3,34.88906
9/23/2021,SLR_05,17.7,80,0.00057544,26.4,19,31.8,31.7,44.5,44.1,19.3,32.5,32.2,45.7,44.4,33.25129333
8/27/2021,SLR_07,9,115,0.001513561,27.1,21.4,31.9,31.7,45,43.6,20.2,30.1,30.1,40.9,41.1,214.3891067
9/23/2021,SLR_09,17.7,57,0.000304789,34.9,18.2,29.8,29.7,42.6,41.8,16.5,26.2,26.2,34.7,34.1,36.85559
9/23/2021,SLR_03,17.7,110,0.001318257,37.1,21.2,34.6,34.2,52.3,50.6,19.3,31.1,30.7,45.3,43.6,34.55155333
9/6/2021,SLR_01,43,84,0.000642688,41.5,16.5,26,25.9,35,33.8,17.3,27.7,27.5,39.2,37.8,81.28741667
9/6/2021,SLR_07,43,84,0.000642688,42,20,34.3,34.1,52.6,52,17.6,29,28.6,41.7,39.8,210.58122
9/23/2021,SLR_07,17.7,109,0.001282331,42.1,23.7,40.2,39.9,59.8,58.5,21.4,35.8,35.3,52.5,50.4,36.94819
9/6/2021,SLR_06,43,102,0.001056818,47.1,11,15.3,15.5,9.6,10.6,15.2,23.3,23.2,27.9,27.7,138.6006333
8/27/2021,SLR_05,9,144,0.003372873,61.9,28.2,39.5,39.4,57.3,56.6,23.8,34.3,34.3,47.9,48.2,118.4355633
9/23/2021,SLR_08,17.7,91,0.00077983,64.5,20,32.5,31.8,49.7,46.7,19.9,32,31.6,47.9,45.9,40.82622
5/1/2022,SLR_05,ND,0,6.31E-05,68.7,12.8,19.3,19.2,16.6,18.4,13.2,19.4,19.4,22.6,21.9,12.68611
9/6/2021,SLR_09,43,126,0.002051162,103,16.5,26.3,26.2,36.6,35.1,15.8,24.4,24.4,32,31.1,227.9158033
8/27/2021,SLR_02,9,172,0.007311391,148,37.9,62.8,61.7,105.1,101.1,34.2,53,53,83.6,83.8,101.88674
9/6/2021,SLR_03,43,126,0.002051162,189,17.3,27.5,27.3,37.1,35.9,18.6,30.2,29.9,42.9,41.3,215.9380967
8/27/2021,SLR_08,9,115,0.001513561,233,21.4,31.9,31.7,45,43.6,31.7,46.8,47,73.1,73.7,141.92065
8/27/2021,SLR_09,9,117,0.001599558,236,9.9,14.9,14.8,10.8,10.6,14.5,23.4,23.6,30.1,30.6,121.5144867
9/6/2021,SLR_05,43,115,0.001513561,311,18.3,30.8,30.7,42.1,41.6,18.3,30.9,30.7,42.6,41.7,190.2554767
8/27/2021,SLR_03,,,NA,NA,,,,,,,,,,,
9/6/2021,SLR_04,43,NA,NA,NA,15.6,24.1,24.1,29.8,29,17.2,27.5,27.4,36.3,35.8,
